Drug Tier,Specialty,Plan Type,Allowed,Drug_name,Requirements_Limits
5,Speciality Drug,my blue,Yes,TIBSOVO - ivosidenib tab 250 mg,"Prior authorization, Limited distribution, Quantity Limits (60 tablets/30 days)"
5,Not Specified,my blue,Yes,toremifene citrate tab 60 mg (base equivalent) (Fareston),Not Specified
5,Speciality Drug,my blue,Yes,tretinoin cap 10 mg,Prior authorization
5,Speciality Drug,my blue,Yes,"TRUQAP - capivasertib tab 160 mg, 200 mg","Prior authorization, Quantity Limits (64 tablets/28 days)"
5,Speciality Drug,my blue,Yes,TUKYSA - tucatinib tab 50 mg,"Prior authorization, Limited distribution, Quantity Limits (300 tablets/30 days)"
5,Speciality Drug,my blue,Yes,TUKYSA - tucatinib tab 150 mg,"Prior authorization, Limited distribution, Quantity Limits (120 tablets/30 days)"
5,Speciality Drug,my blue,Yes,TURALIO - pexidartinib hcl cap 125 mg (base equivalent),"Prior authorization, Limited distribution, Quantity Limits (120 capsules/30 days)"
5,Speciality Drug,my blue,Yes,VANFLYTA - quizartinib dihydrochloride tab 17.7 mg,"Prior authorization, Limited distribution, Quantity Limits (28 tablets/28 days)"
5,Speciality Drug,my blue,Yes,VANFLYTA - quizartinib dihydrochloride tab 26.5 mg,"Prior authorization, Limited distribution, Quantity Limits (56 tablets/28 days)"
5,Speciality Drug,my blue,Yes,VENCLEXTA - venetoclax tab 10 mg,"Prior authorization, Limited distribution, Quantity Limits (60 tablets/30 days)"
5,Speciality Drug,my blue,Yes,VENCLEXTA - venetoclax tab 50 mg,"Prior authorization, Limited distribution, Quantity Limits (30 tablets/30 days)"
5,Speciality Drug,my blue,Yes,VENCLEXTA - venetoclax tab 100 mg,"Prior authorization, Limited distribution, Quantity Limits (120 tablets/30 days)"
5,Speciality Drug,my blue,Yes,VENCLEXTA STARTING PACK - venetoclax tab therapy starter pack 10 & 50 & 100 mg,"Prior authorization, Limited distribution, Quantity Limits (1 pack/180 days)"
5,Speciality Drug,my blue,Yes,"VERZENIO - abemaciclib tab 50 mg, 100 mg, 150 mg, 200 mg","Prior authorization, Limited distribution, Quantity Limits (60 tablets/30 days)"
5,Speciality Drug,my blue,Yes,VITRAKVI - larotrectinib sulfate oral soln 20 mg/ml (base equivalent),"Prior authorization, Limited distribution, Quantity Limits (300 mls/30 days)"
5,Speciality Drug,my blue,Yes,VITRAKVI - larotrectinib sulfate cap 25 mg (base equivalent),"Prior authorization, Limited distribution, Quantity Limits (180 capsules/30 days)"
5,Speciality Drug,my blue,Yes,VITRAKVI - larotrectinib sulfate cap 100 mg (base equivalent),"Prior authorization, Limited distribution, Quantity Limits (60 capsules/30 days)"
5,Speciality Drug,my blue,Yes,"VIZIMPRO - dacomitinib tab 15 mg, 30 mg, 45 mg","Prior authorization, Limited distribution, Quantity Limits (30 tablets/30 days)"
5,Speciality Drug,my blue,Yes,VONJO - pacritinib citrate cap 100 mg,"Prior authorization, Limited distribution, Quantity Limits (120 capsules/30 days)"
5,Speciality Drug,my blue,Yes,VOTRIENT - pazopanib hcl tab 200 mg (base equiv),"Prior authorization, Quantity Limits (120 tablets/30 days)"
5,Speciality Drug,my blue,Yes,WELIREG - belzutifan tab 40 mg,"Prior authorization, Limited distribution, Quantity Limits (90 tablets/30 days)"
5,Speciality Drug,my blue,Yes,"XALKORI - crizotinib cap 200 mg, 250 mg","Prior authorization, Limited distribution, Quantity Limits (60 capsules/30 days)"
5,Speciality Drug,my blue,Yes,XALKORI - crizotinib cap sprinkle 20 mg,"Prior authorization, Limited distribution, Quantity Limits (120 capsules/30 day)"
5,Speciality Drug,my blue,Yes,XALKORI - crizotinib cap sprinkle 50 mg,"Prior authorization, Limited distribution, Quantity Limits (120 capsules/30 days)"
5,Speciality Drug,my blue,Yes,XALKORI - crizotinib cap sprinkle 150 mg,"Prior authorization, Limited distribution, Quantity Limits (180 capsules/30 days)"
5,Speciality Drug,my blue,Yes,XOSPATA - gilteritinib fumarate tablet 40 mg (base equivalent),"Prior authorization, Limited distribution, Quantity Limits (90 tablets/30 days)"
5,Speciality Drug,my blue,Yes,"XPOVIO - selinexor tab therapy pack 40 mg (40 mg once weekly), 60 mg (60 mg once weekly)","Prior authorization, Limited distribution, Quantity Limits (4 tablets/28 days)"
5,Speciality Drug,my blue,Yes,"XPOVIO - selinexor tab therapy pack 40 mg (40 mg twice weekly), 40 mg (80 mg once weekly), 50 mg (100 mg once weekly)","Prior authorization, Limited distribution, Quantity Limits (8 tablets/28 days)"
5,Speciality Drug,my blue,Yes,XPOVIO 60 MG TWICE WEEKLY - selinexor tab therapy pack 20 mg (60 mg twice weekly),"Prior authorization, Limited distribution, Quantity Limits (24 tablets/28 days)"
5,Speciality Drug,my blue,Yes,XPOVIO 80 MG TWICE WEEKLY - selinexor tab therapy pack 20 mg (80 mg twice weekly),"Prior authorization, Limited distribution, Quantity Limits (32 tablets/28 days)"
5,Speciality Drug,my blue,Yes,XTANDI - enzalutamide cap 40 mg,"Prior authorization, Limited distribution, Quantity Limits (120 capsules/30 days)"
5,Speciality Drug,my blue,Yes,XTANDI - enzalutamide tab 40 mg,"Prior authorization, Limited distribution, Quantity Limits (120 tablets/30 days)"
5,Speciality Drug,my blue,Yes,XTANDI - enzalutamide tab 80 mg,"Prior authorization, Limited distribution, Quantity Limits (60 tablets/30 days)"
5,Speciality Drug,my blue,Yes,YONSA - abiraterone acetate micronized tab 125 mg,"Prior authorization, Limited distribution, Quantity Limits (120 tablets/30 days)"
5,Speciality Drug,my blue,Yes,"ZEJULA - niraparib tosylate tab 100 mg (base equivalent), 200 mg (base equivalent), 300 mg (base equivalent)","Prior authorization, Limited distribution, Quantity Limits (30 tablets/30 days)"
5,Speciality Drug,my blue,Yes,ZELBORAF - vemurafenib tab 240 mg,"Prior authorization, Limited distribution, Quantity Limits (240 tablets/30 days)"
5,Speciality Drug,my blue,Yes,ZOLINZA - vorinostat cap 100 mg,"Prior authorization, Limited distribution, Quantity Limits (120 capsules/30 days)"
5,Speciality Drug,my blue,Yes,"ZYDELIG - idelalisib tab 100 mg, 150 mg","Prior authorization, Limited distribution, Quantity Limits (60 tablets/30 days)"
5,Speciality Drug,my blue,Yes,ZYKADIA - ceritinib tab 150 mg,"Prior authorization, Limited distribution, Quantity Limits (90 tablets/30 days)"
5,Not Specified,my blue,Yes,budesonide delayed release particles cap 3 mg (Entocort ec),Not Specified
5,Not Specified,my blue,Yes,budesonide tab er 24hr 9 mg (Uceris),Not Specified
5,Not Specified,my blue,Yes,DEXAMETHASONE - dexamethasone soln 0.5 mg/5ml,Not Specified
3,Not Specified,my blue,Yes,dexamethasone elixir 0.5 mg/5ml,Not Specified
5,Not Specified,my blue,Yes,"dexamethasone tab 0.5 mg, 0.75 mg, 1 mg, 2 mg",Not Specified
3,Not Specified,my blue,Yes,"dexamethasone tab 1.5 mg, 4 mg, 6 mg",Not Specified
3,Not Specified,my blue,Yes,fludrocortisone acetate tab 0.1 mg,Not Specified
3,Not Specified,my blue,Yes,"hydrocortisone tab 5 mg, 10 mg, 20 mg (Cortef)",Not Specified
3,Not Specified,my blue,Yes,methylprednisolone tab therapy pack 4 mg (21) (Medrol dosepak),Not Specified
3,Not Specified,my blue,Yes,"methylprednisolone tab 4 mg, 8 mg, 16 mg, 32 mg (Medrol)",Not Specified
3,Not Specified,my blue,Yes,prednisolone sod phosph oral soln 6.7 mg/5ml (5 mg/5ml base) (Pediapred),Not Specified
3,Not Specified,my blue,Yes,prednisolone sod phosphate oral soln 15 mg/5ml (base equiv),Not Specified
5,Not Specified,my blue,Yes,"PREDNISOLONE SODIUM PHOSP - prednisolone sod phos orally disintegr tab 10 mg (base eq), 15 mg (base eq), 30 mg (base eq)",Not Specified
5,Not Specified,my blue,Yes,prednisolone sodium phosphate oral soln 25 mg/5ml (base eq),Not Specified
5,Not Specified,my blue,Yes,prednisolone soln 15 mg/5ml,Not Specified
5,Not Specified,my blue,Yes,prednisolone tab 5 mg,Not Specified
5,Not Specified,my blue,Yes,PREDNISONE - prednisone oral soln 5 mg/5ml,Not Specified
3,Not Specified,my blue,Yes,"prednisone tab 1 mg, 2.5 mg, 5 mg, 10 mg, 20 mg, 50 mg",Not Specified
6,Speciality Drug,my blue,Yes,TARPEYO - budesonide delayed release cap 4 mg,"Prior authorization, Limited distribution, Quantity Limits (120 capsules/30 days)"
5,Not Specified,my blue,Yes,"danazol cap 50 mg, 100 mg, 200 mg",Prior authorization
5,Not Specified,my blue,Yes,methyltestosterone cap 10 mg,"Prior authorization, Quantity Limits (600 capsules/30 days)"
3,Not Specified,my blue,Yes,testosterone cypionate im inj in oil 100 mg/ml (Depo- testosterone),Quantity Limits (1 vial/28 days)
3,Not Specified,my blue,Yes,testosterone cypionate im inj in oil 200 mg/ml (Depo- testosterone),Quantity Limits (10 mls/28 days)
5,Not Specified,my blue,Yes,TESTOSTERONE ENANTHATE - testosterone enanthate im inj in oil 200 mg/ml,Quantity Limits (1 vial/28 days)
5,Not Specified,my blue,Yes,"testosterone td gel 25 mg/2.5gm (1%), 50 mg/5gm (1%) (Androgel)","Prior authorization, Quantity Limits (60 packets/30 days)"
5,Not Specified,my blue,Yes,testosterone td gel 12.5 mg/act (1%),"Prior authorization, Quantity Limits (4 pumps/30 days)"
5,Not Specified,my blue,Yes,testosterone td gel 20.25 mg/act (1.62%) (Androgel pump),"Prior authorization, Quantity Limits (2 pumps/30 days)"
5,Not Specified,my blue,Yes,testosterone td gel 10mg/act (2%) (Fortesta),"Prior authorization, Quantity Limits (2 pumps/30 days)"
5,Not Specified,my blue,Yes,testosterone td soln 30 mg/act,"Prior authorization, Quantity Limits (2 pumps/30 days)"
5,Not Specified,my blue,Yes,CLIMARA PRO - estradiol-levonorgestrel td patch weekly 0.045-0.015 mg/day,Quantity Limits (4 patches/28 days)
5,Not Specified,my blue,Yes,DUAVEE - conjugated estrogens-bazedoxifene tab 0.45-20 mg,Not Specified
5,Not Specified,my blue,Yes,estradiol & norethindrone acetate tab 0.5-0.1 mg,Not Specified
5,Not Specified,my blue,Yes,estradiol & norethindrone acetate tab 1-0.5 mg,Not Specified
3,Not Specified,my blue,Yes,"estradiol tab 0.5 mg, 1 mg, 2 mg (Estrace)",Not Specified
5,Not Specified,my blue,Yes,"estradiol td gel 0.25 mg/0.25gm (0.1%), 0.5 mg/0.5gm",Quantity Limits (30 packets/30 days)
5,Not Specified,my blue,Yes,"estradiol td patch twice weekly 0.025 mg/24hr,",Quantity Limits (8 patches/28 days)
5,Not Specified,my blue,Yes,"estradiol td patch weekly 0.025 mg/24hr,",Quantity Limits (4 patches/28 days)
5,Not Specified,my blue,Yes,ESTROGEL - estradiol gel 0.06% (0.75 mg/1.25 gm,Quantity Limits (1 pump/30 days)
5,Not Specified,my blue,Yes,"MENEST - esterified estrogens tab 0.3 mg, 0.625 mg,",Not Specified
5,Not Specified,my blue,Yes,MYFEMBREE - relugolix-estradiol-norethindrone acetate,"Prior authorization, Quantity Limits (30 tablets/30 days)"
5,Not Specified,my blue,Yes,norethindrone acetate-ethinyl estradiol tab,Not Specified
5,Not Specified,my blue,Yes,norethindrone acetate-ethinyl estradiol tab,Not Specified
5,Not Specified,my blue,Yes,ORIAHNN - elagolix-estrad-noreth 300-1-0.5mg &,"Prior authorization, Quantity Limits (56 capsules/28 days)"
1,Not Specified,my blue,Yes,ELLA - ulipristal acetate tab 30 mg,Not Specified
1,Not Specified,my blue,Yes,"ethynodiol diacetate & ethinyl estradiol tab 1 mg-35 mcg, 1 mg-50 mcg",Not Specified
1,Not Specified,my blue,Yes,etonogestrel-ethinyl estradiol va ring 0.120-0.015 mg/24hr (Nuvaring),Prior authorization
1,Not Specified,my blue,Yes,levonor-eth est tab 0.15-0.02/0.025/0.03 mg &eth est 0.01 mg (Quartette),Not Specified
1,Not Specified,my blue,Yes,levonorg-eth est tab 0.1-0.02mg(84) & eth est tab 0.01mg(7) (Loseasonique),Not Specified
1,Not Specified,my blue,Yes,levonorg-eth est tab 0.15-0.03mg(84) & eth est tab 0.01mg(7) (Seasonique),Not Specified
1,Not Specified,my blue,Yes,levonorgestrel & ethinyl estradiol (91-day) tab 0.15-0.03 mg,Not Specified
1,Not Specified,my blue,Yes,"levonorgestrel & ethinyl estradiol tab 0.1 mg-20 mcg, 0.15 mg-30 mcg",Not Specified
1,Not Specified,my blue,Yes,levonorgestrel tab 1.5 mg,Not Specified
1,Not Specified,my blue,Yes,levonorgestrel-eth estra tab 0.05-30/0.075-40/0.125-30mg-mcg,Not Specified
1,Not Specified,my blue,Yes,levonorgestrel-ethinyl estradiol (continuous) tab 90-20 mcg,Not Specified
5,Not Specified,my blue,Yes,LO LOESTRIN FE - norethin-eth estradiol-fe tab 1 mg-10 mcg (24)/10 mcg (2),Not Specified
1,Not Specified,my blue,Yes,medroxyprogesterone acetate im susp prefilled syr 150 mg/ml (Depo-provera contrac),Not Specified
1,Not Specified,my blue,Yes,medroxyprogesterone acetate im susp 150 mg/ml (Depo-provera contrac),Not Specified
1,Not Specified,my blue,Yes,norelgestromin-ethinyl estradiol td ptwk 150-35 mcg/24hr,Not Specified
1,Not Specified,my blue,Yes,"norethindrone & ethinyl estradiol tab 0.4 mg-35 mcg, 0.5 mg-35 mcg, 1 mg-35 mcg",Not Specified
1,Not Specified,my blue,Yes,norethindrone & ethinyl estradiol-fe chew tab 0.8 mg-25 mcg (Generess fe),Not Specified
1,Not Specified,my blue,Yes,norethindrone ac-ethinyl estrad-fe tab 1-20/1-30/1-35 mg-mcg (Estrostep fe),Not Specified
1,Not Specified,my blue,Yes,"norethindrone ace & ethinyl estradiol tab 1 mg-20 mcg, 1.5 mg-30 mcg",Not Specified
1,Not Specified,my blue,Yes,"norethindrone ace & ethinyl estradiol-fe tab 1 mg-20 mcg, 1.5 mg-30 mcg",Not Specified
1,Not Specified,my blue,Yes,norethindrone ace-ethinyl estradiol-fe cap 1 mg-20 mcg (24) (Taytulla),Not Specified
1,Not Specified,my blue,Yes,norethindrone tab 0.35 mg,Not Specified
1,Not Specified,my blue,Yes,"norethindrone-eth estradiol tab 0.5-35/0.75-35/1-35 mg-mcg, 0.5-35/1-35/0.5-35 mg- mcg",Not Specified
1,Not Specified,my blue,Yes,norgestimate & ethinyl estradiol tab 0.25 mg-35 mcg,Not Specified
1,Not Specified,my blue,Yes,"norgestimate-eth estrad tab 0.18-25/0.215-25/0.25-25 mg-mcg, 0.18-35/0.215-35/0.25-35 mg-mcg",Not Specified
1,Not Specified,my blue,Yes,norgestrel & ethinyl estradiol tab 0.3 mg-30 mcg,Not Specified
1,Not Specified,my blue,Yes,NUVARING - etonogestrel-ethinyl estradiol va ring 0.120-0.015 mg/24hr,Not Specified
5,Not Specified,my blue,Yes,VELIVET - desogest-ethin est tab 0.1-0.025/0.125-0.025/0.15-0.025mg-mg,Not Specified
3,Not Specified,my blue,Yes,"medroxyprogesterone acetate tab 2.5 mg, 5 mg, 10 mg (Provera)",Not Specified
3,Not Specified,my blue,Yes,norethindrone acetate tab 5 mg (Aygestin),Not Specified
3,Not Specified,my blue,Yes,"progesterone cap 100 mg, 200 mg (Prometrium)",Not Specified
2,Not Specified,my blue,Yes,"acarbose tab 25 mg, 50 mg, 100 mg (Precose)",Not Specified
4,Not Specified,my blue,Yes,BAQSIMI ONE PACK - glucagon nasal powder 3 mg/ dose,Not Specified
4,Not Specified,my blue,Yes,BAQSIMI TWO PACK - glucagon nasal powder 3 mg/ dose,Not Specified
5,Not Specified,my blue,Yes,diazoxide susp 50 mg/ml (Proglycem),Not Specified
4,Not Specified,my blue,Yes,"FARXIGA - dapagliflozin propanediol tab 5 mg (base equivalent), 10 mg (base equivalent)","ST, Quantity Limits (30 tablets/30 days)"
2,Not Specified,my blue,Yes,"glimepiride tab 1 mg, 2 mg, 4 mg (Amaryl)",Not Specified
2,Not Specified,my blue,Yes,"glipizide tab er 24hr 2.5 mg, 5 mg, 10 mg (Glucotrol xl)",Not Specified
2,Not Specified,my blue,Yes,"glipizide tab 5 mg, 10 mg",Not Specified
2,Not Specified,my blue,Yes,"glipizide-metformin hcl tab 2.5-250 mg, 2.5-500 mg, 5-500 mg",Not Specified
6,Not Specified,my blue,Yes,GLUCAGEN HYPOKIT - glucagon hcl (rdna) for inj 1 mg (base equiv),Prior authorization
2,Not Specified,my blue,Yes,GLUCAGON EMERGENCY KIT FO - glucagon (rdna) for inj kit 1 mg,Not Specified
4,Not Specified,my blue,Yes,GLUCAGON EMERGENCY KIT FO - glucagon hcl for inj 1 mg,Not Specified
2,Not Specified,my blue,Yes,"GLYBURIDE MICRONIZED - glyburide micronized tab 1.5 mg, 3 mg, 6 mg",Not Specified
2,Not Specified,my blue,Yes,"glyburide tab 1.25 mg, 2.5 mg, 5 mg",Not Specified
2,Not Specified,my blue,Yes,"glyburide-metformin tab 1.25-250 mg, 2.5-500 mg, 5-500 mg",Not Specified
4,Not Specified,my blue,Yes,"GLYXAMBI - empagliflozin-linagliptin tab 10-5 mg, 25-5 mg","ST, Quantity Limits (30 tablets/30 days)"
4,Not Specified,my blue,Yes,"GVOKE HYPOPEN 1-PACK - glucagon subcutaneous solution auto-injector 0.5 mg/0.1ml, 1 mg/0.2ml",Not Specified
4,Not Specified,my blue,Yes,"GVOKE HYPOPEN 2-PACK - glucagon subcutaneous solution auto-injector 0.5 mg/0.1ml, 1 mg/0.2ml",Not Specified
4,Not Specified,my blue,Yes,GVOKE KIT - glucagon subcutaneous soln 1 mg/0.2ml,Not Specified
4,Not Specified,my blue,Yes,"GVOKE PFS - glucagon subcutaneous soln pref syringe 0.5 mg/0.1ml, 1 mg/0.2ml",Not Specified
4,Not Specified,my blue,Yes,"JANUMET - sitagliptin-metformin hcl tab 50-500 mg, 50-1000 mg","ST, Quantity Limits (60 tablets/30 days)"
4,Not Specified,my blue,Yes,"JANUMET XR - sitagliptin-metformin hcl tab er 24hr 50-500 mg, 100-1000 mg","ST, Quantity Limits (30 tablets/30 days)"
4,Not Specified,my blue,Yes,JANUMET XR - sitagliptin-metformin hcl tab er 24hr 50-1000 mg,"ST, Quantity Limits (60 tablets/30 days)"
4,Not Specified,my blue,Yes,"JANUVIA - sitagliptin phosphate tab 25 mg (base equiv), 50 mg (base equiv), 100 mg (base equiv)","ST, Quantity Limits (30 tablets/30 days)"
4,Not Specified,my blue,Yes,"JARDIANCE - empagliflozin tab 10 mg, 25 mg","ST, Quantity Limits (30 tablets/30 days)"
2,Not Specified,my blue,Yes,"metformin hcl tab er 24hr 500 mg, 750 mg",Not Specified
2,Not Specified,my blue,Yes,"metformin hcl tab 500 mg, 850 mg, 1000 mg",Not Specified
4,Not Specified,my blue,Yes,"MIGLITOL - miglitol tab 25 mg, 50 mg, 100 mg",Not Specified
4,Not Specified,my blue,Yes,"MOUNJARO - tirzepatide soln pen-injector 2.5 mg/0.5ml, 5 mg/0.5ml, 7.5 mg/0.5ml, 10 mg/0.5ml, 12.5 mg/0.5ml, 15 mg/0.5ml","Prior authorization, Quantity Limits (4 pens/28 days)"
2,Not Specified,my blue,Yes,"nateglinide tab 60 mg, 120 mg",Not Specified
4,Not Specified,my blue,Yes,"OZEMPIC - semaglutide soln pen-inj 0.25 or 0.5 mg/ dose (2 mg/3ml), 2 mg/dose (8 mg/3ml)","Prior authorization, Quantity Limits (1 pen/28 days)"
4,Not Specified,my blue,Yes,OZEMPIC - semaglutide soln pen-inj 1 mg/dose (4 mg/3ml),"Prior authorization, Quantity Limits (1 pen/28 days)"
2,Not Specified,my blue,Yes,"pioglitazone hcl tab 15 mg (base equiv), 30 mg (base equiv), 45 mg (base equiv) (Actos)",Not Specified
2,Not Specified,my blue,Yes,"pioglitazone hcl-metformin hcl tab 15-500 mg, 15-850 mg (Actoplus met)",Not Specified
2,Not Specified,my blue,Yes,"repaglinide tab 0.5 mg, 1 mg, 2 mg",Not Specified
4,Not Specified,my blue,Yes,RYBELSUS - semaglutide tab 3 mg,"Prior authorization, Quantity Limits (30 tablets/180 days)"
4,Not Specified,my blue,Yes,"RYBELSUS - semaglutide tab 7 mg, 14 mg","Prior authorization, Quantity Limits (30 tablets/30 days)"
2,Not Specified,my blue,Yes,"saxagliptin hcl tab 2.5 mg (base equiv), 5 mg (base equiv) (Onglyza)",Quantity Limits (30 tablets/30 days)
2,Not Specified,my blue,Yes,saxagliptin-metformin hcl tab er 24hr 2.5-1000 mg (Kombiglyze xr),Quantity Limits (60 tablets/30 days)
2,Not Specified,my blue,Yes,"saxagliptin-metformin hcl tab er 24hr 5-500 mg,",Quantity Limits (30 tablets/30 days)
4,Not Specified,my blue,Yes,SOLIQUA 100/33 - insulin glargine-lixisenatide sol pen-,"ST, Quantity Limits (6 pens/30 days)"
4,Not Specified,my blue,Yes,SYMLINPEN 120 - pramlintide acetate pen-inj,Not Specified
4,Not Specified,my blue,Yes,SYMLINPEN 60 - pramlintide acetate pen-inj,Not Specified
4,Not Specified,my blue,Yes,"SYNJARDY - empagliflozin-metformin hcl tab 5-500 mg,","ST, Quantity Limits (60 tablets/30 days)"
4,Not Specified,my blue,Yes,SYNJARDY XR - empagliflozin-metformin hcl tab er 24hr,"ST, Quantity Limits (60 tablets/30 days)"
4,Not Specified,my blue,Yes,SYNJARDY XR - empagliflozin-metformin hcl tab er 24hr,"ST, Quantity Limits (30 tablets/30 days)"
4,Not Specified,my blue,Yes,TRIJARDY XR - empagliflozin-linagliptin-metformin tab,"ST, Quantity Limits (60 tablets/30 days)"
4,Not Specified,my blue,Yes,TRIJARDY XR - empagliflozin-linagliptin-metformin tab,"ST, Quantity Limits (30 tablets/30 days)"
4,Not Specified,my blue,Yes,TRIJARDY XR - empagliflozin-linaglip-metformin tab er,"ST, Quantity Limits (60 tablets/30 days)"
4,Not Specified,my blue,Yes,TRULICITY - dulaglutide soln pen-injector,"Prior authorization, Quantity Limits (4 pens/28 days)"
4,Not Specified,my blue,Yes,VICTOZA - liraglutide soln pen-injector 18 mg/3ml (6 mg/,"Prior authorization, Quantity Limits (3 pens/30 days)"
4,Not Specified,my blue,Yes,XIGDUO XR - dapagliflozin prop-metformin hcl tab er,"ST, Quantity Limits (60 tablets/30 days)"
4,Not Specified,my blue,Yes,XIGDUO XR - dapagliflozin prop-metformin hcl tab er,"ST, Quantity Limits (30 tablets/30 days)"
4,Not Specified,my blue,Yes,XULTOPHY 100/3.6 - insulin degludec-liraglutide sol,"ST, Quantity Limits (5 pens/30 days)"
4,Not Specified,my blue,Yes,ZEGALOGUE - dasiglucagon hcl subcutaneous soln,Not Specified
4,Not Specified,my blue,Yes,ZEGALOGUE - dasiglucagon hcl subcutaneous soln pref,Not Specified
2,Not Specified,my blue,Yes,INSULIN ASPART FLEXPEN - insulin aspart soln pen- injector 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,INSULIN ASPART PENFILL - insulin aspart soln cartridge 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLOG - insulin aspart inj soln 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLOG FLEXPEN - insulin aspart soln pen-injector 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLOG FLEXPEN RELION - insulin aspart soln pen- injector 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLOG PENFILL - insulin aspart soln cartridge 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLOG RELION - insulin aspart inj soln 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,HUMULIN R U-500 (CONCENTR - insulin regular (human) inj 500 unit/ml,Not Specified
2,Not Specified,my blue,Yes,HUMULIN R U-500 KWIKPEN - insulin regular (human) soln pen-injector 500 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLIN R - insulin regular (human) inj 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLIN R FLEXPEN - insulin regular (human) soln pen-injector 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLIN R FLEXPEN RELION - insulin regular (human) soln pen-injector 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLIN R RELION - insulin regular (human) inj 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,RELION R - insulin regular (human) inj 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,INSULIN ASPART PROTAMINE/ - insulin aspart prot & aspart sus pen-inj 100 unit/ml (70-30),Not Specified
2,Not Specified,my blue,Yes,INSULIN ASPART PROTAMINE/ - insulin aspart prot & aspart (human) inj 100 unit/ml (70-30),Not Specified
2,Not Specified,my blue,Yes,NOVOLIN N - insulin nph (human) (isophane) inj 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLIN N FLEXPEN - insulin nph (human) (isophane) susp pen-injector 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLIN N FLEXPEN RELION - insulin nph (human) (isophane) susp pen-injector 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLIN N RELION - insulin nph (human) (isophane) inj 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,NOVOLIN 70/30 - insulin nph isophane & regular human inj 100 unit/ml (70-30),Not Specified
2,Not Specified,my blue,Yes,NOVOLIN 70/30 FLEXPEN - insulin nph & regular susp pen-inj 100 unit/ml (70-30),Not Specified
2,Not Specified,my blue,Yes,NOVOLIN 70/30 FLEXPEN REL - insulin nph & regular susp pen-inj 100 unit/ml (70-30),Not Specified
2,Not Specified,my blue,Yes,NOVOLIN 70/30 RELION - insulin nph isophane & regular human inj 100 unit/ml (70-30),Not Specified
2,Not Specified,my blue,Yes,NOVOLOG MIX 70/30 - insulin aspart prot & aspart (human) inj 100 unit/ml (70-30),Not Specified
2,Not Specified,my blue,Yes,NOVOLOG MIX 70/30 PREFILL - insulin aspart prot & aspart sus pen-inj 100 unit/ml (70-30),Not Specified
2,Not Specified,my blue,Yes,NOVOLOG MIX 70/30 RELION - insulin aspart prot & aspart (human) inj 100 unit/ml (70-30),Not Specified
2,Not Specified,my blue,Yes,INSULIN DEGLUDEC - insulin degludec inj 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,"INSULIN DEGLUDEC FLEXTOUC - insulin degludec soln pen-injector 100 unit/ml, 200 unit/ml",Not Specified
2,Not Specified,my blue,Yes,LANTUS - insulin glargine inj 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,LANTUS SOLOSTAR - insulin glargine soln pen-injector 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,LEVEMIR - insulin detemir inj 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,LEVEMIR FLEXPEN - insulin detemir soln pen-injector 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,TOUJEO MAX SOLOSTAR - insulin glargine soln pen- injector 300 unit/ml (2 unit dial),Not Specified
2,Not Specified,my blue,Yes,TOUJEO SOLOSTAR - insulin glargine soln pen-injector 300 unit/ml (1 unit dial),Not Specified
2,Not Specified,my blue,Yes,TRESIBA - insulin degludec inj 100 unit/ml,Not Specified
2,Not Specified,my blue,Yes,"TRESIBA FLEXTOUCH - insulin degludec soln pen- injector 100 unit/ml, 200 unit/ml",Not Specified
5,Not Specified,my blue,Yes,"ADTHYZA - thyroid tab 16.25 mg, 32.5 mg, 65 mg, 97.5 mg, 130 mg",Not Specified
5,Not Specified,my blue,Yes,"ARMOUR THYROID - thyroid tab 15 mg (1/4 grain), 30 mg (1/2 grain), 60 mg (1 grain), 90 mg (1 1/2 grain), 120 mg (2 grain), 180 mg (3 grain), 240 mg (4 grain), 300 mg (5 grain)",Not Specified
